path	action	hub_path	why
docs/artifacts/cute-dsl-scorer/wp4/cps-cuda.json	hub	artifacts/cute-dsl-scorer/wp4/cps-cuda.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/cps-cute-posttrim.json	hub	artifacts/cute-dsl-scorer/wp4/cps-cute-posttrim.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/cps-cute.json	hub	artifacts/cute-dsl-scorer/wp4/cps-cute.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/cps-triton.json	hub	artifacts/cute-dsl-scorer/wp4/cps-triton.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/cpse-cuda.json	hub	artifacts/cute-dsl-scorer/wp4/cpse-cuda.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/cpse-cute-posttrim.json	hub	artifacts/cute-dsl-scorer/wp4/cpse-cute-posttrim.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/cpse-cute.json	hub	artifacts/cute-dsl-scorer/wp4/cpse-cute.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/cpse-triton.json	hub	artifacts/cute-dsl-scorer/wp4/cpse-triton.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/h2h-base.json	hub	artifacts/cute-dsl-scorer/wp4/h2h-base.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/h2h-final.json	hub	artifacts/cute-dsl-scorer/wp4/h2h-final.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/host_overhead-after.json	hub	artifacts/cute-dsl-scorer/wp4/host_overhead-after.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/host_overhead-base.json	hub	artifacts/cute-dsl-scorer/wp4/host_overhead-base.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/host_overhead-base2.json	hub	artifacts/cute-dsl-scorer/wp4/host_overhead-base2.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/host_overhead-before.json	hub	artifacts/cute-dsl-scorer/wp4/host_overhead-before.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/host_trim.json	hub	artifacts/cute-dsl-scorer/wp4/host_trim.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/kernel_only-base.json	hub	artifacts/cute-dsl-scorer/wp4/kernel_only-base.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp4/kernel_only-final.json	hub	artifacts/cute-dsl-scorer/wp4/kernel_only-final.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp6/graphs.json	hub	artifacts/cute-dsl-scorer/wp6/graphs.json	raw data behind a documented finding
docs/artifacts/cute-dsl-scorer/wp6/smoke.json	hub	artifacts/cute-dsl-scorer/wp6/smoke.json	raw data behind a documented finding
docs/artifacts/dataset-candidates/pubmed/dryrun-chunk37-prep_log.json	hub	artifacts/dataset-candidates/pubmed/dryrun-chunk37-prep_log.json	raw data behind a documented finding
docs/artifacts/dataset-candidates/pubmed/dryrun-chunk37-shard_index.json	hub	artifacts/dataset-candidates/pubmed/dryrun-chunk37-shard_index.json	raw data behind a documented finding
docs/artifacts/dataset-candidates/pubmed/dryrun-chunk37-text_emb.meta.json	hub	artifacts/dataset-candidates/pubmed/dryrun-chunk37-text_emb.meta.json	raw data behind a documented finding
docs/artifacts/dataset-candidates/pubmed/plan-10m-2026-09-16.json	hub	artifacts/dataset-candidates/pubmed/plan-10m-2026-09-16.json	raw data behind a documented finding
docs/artifacts/dataset-candidates/pubmed/plan-full-2026-09-16.json	hub	artifacts/dataset-candidates/pubmed/plan-full-2026-09-16.json	raw data behind a documented finding
docs/artifacts/dataset-candidates/yfcc10m/filter-yfcc10m-d192-cpu-rehearsal.jsonl	hub	artifacts/dataset-candidates/yfcc10m/filter-yfcc10m-d192-cpu-rehearsal.jsonl	raw data behind a documented finding
docs/artifacts/dataset-candidates/yfcc10m/gt_check-cpu-100-cosine.json	hub	artifacts/dataset-candidates/yfcc10m/gt_check-cpu-100-cosine.json	raw data behind a documented finding
docs/artifacts/dataset-candidates/yfcc10m/gt_check-cpu-200.json	hub	artifacts/dataset-candidates/yfcc10m/gt_check-cpu-200.json	raw data behind a documented finding
docs/artifacts/dataset-candidates/yfcc10m/gt_check-cuda-100k.json	hub	artifacts/dataset-candidates/yfcc10m/gt_check-cuda-100k.json	raw data behind a documented finding
docs/artifacts/dataset-candidates/yfcc10m/none_e1-yfcc10m-d192-cpu-rehearsal.jsonl	hub	artifacts/dataset-candidates/yfcc10m/none_e1-yfcc10m-d192-cpu-rehearsal.jsonl	raw data behind a documented finding
docs/artifacts/dataset-candidates/yfcc10m/prep_log-2026-09-16.json	hub	artifacts/dataset-candidates/yfcc10m/prep_log-2026-09-16.json	raw data behind a documented finding
docs/artifacts/dataset-candidates/yfcc10m/prep_log.json	hub	artifacts/dataset-candidates/yfcc10m/prep_log.json	raw data behind a documented finding
docs/artifacts/dataset-candidates/yfcc10m/raw-manifest.json	hub	artifacts/dataset-candidates/yfcc10m/raw-manifest.json	raw data behind a documented finding
docs/artifacts/dataset-candidates/yfcc10m/text_emb.meta-2026-09-16.json	hub	artifacts/dataset-candidates/yfcc10m/text_emb.meta-2026-09-16.json	raw data behind a documented finding
docs/artifacts/deterministic-compaction/epilogue_variants.json	hub	artifacts/deterministic-compaction/epilogue_variants.json	raw data behind a documented finding
docs/artifacts/deterministic-compaction/golden-rederive/run1/goodreads-d128-c0_genre-linr_v2-triton.json	hub	artifacts/deterministic-compaction/golden-rederive/run1/goodreads-d128-c0_genre-linr_v2-triton.json	raw data behind a documented finding
docs/artifacts/deterministic-compaction/golden-rederive/run1/goodreads-d128-c0_genre-linr_v3-triton.json	hub	artifacts/deterministic-compaction/golden-rederive/run1/goodreads-d128-c0_genre-linr_v3-triton.json	raw data behind a documented finding
docs/artifacts/deterministic-compaction/golden-rederive/run2/goodreads-d128-c0_genre-linr_v2-triton.json	hub	artifacts/deterministic-compaction/golden-rederive/run2/goodreads-d128-c0_genre-linr_v2-triton.json	raw data behind a documented finding
docs/artifacts/deterministic-compaction/golden-rederive/run2/goodreads-d128-c0_genre-linr_v3-triton.json	hub	artifacts/deterministic-compaction/golden-rederive/run2/goodreads-d128-c0_genre-linr_v3-triton.json	raw data behind a documented finding
docs/artifacts/deterministic-compaction/timing-after-bitmask.json	hub	artifacts/deterministic-compaction/timing-after-bitmask.json	raw data behind a documented finding
docs/artifacts/deterministic-compaction/timing-after-d3-recompute.json	hub	artifacts/deterministic-compaction/timing-after-d3-recompute.json	raw data behind a documented finding
docs/artifacts/deterministic-compaction/timing-after-stash.json	hub	artifacts/deterministic-compaction/timing-after-stash.json	raw data behind a documented finding
docs/artifacts/deterministic-compaction/timing-after.json	hub	artifacts/deterministic-compaction/timing-after.json	raw data behind a documented finding
docs/artifacts/deterministic-compaction/timing-before.json	hub	artifacts/deterministic-compaction/timing-before.json	raw data behind a documented finding
docs/artifacts/e2-pubmed/filter-pubmed-d768-cell.jsonl	hub	artifacts/e2-pubmed/filter-pubmed-d768-cell.jsonl	raw data behind a documented finding
docs/artifacts/e2-pubmed/plan-10m.json	hub	artifacts/e2-pubmed/plan-10m.json	raw data behind a documented finding
docs/artifacts/e3-openalex/dryrun-convert_log.jsonl	hub	artifacts/e3-openalex/dryrun-convert_log.jsonl	raw data behind a documented finding
docs/artifacts/e3-openalex/dryrun-prep_log.json	hub	artifacts/e3-openalex/dryrun-prep_log.json	raw data behind a documented finding
docs/artifacts/e3-openalex/dryrun-staging-params.json	hub	artifacts/e3-openalex/dryrun-staging-params.json	raw data behind a documented finding
docs/artifacts/e3-openalex/filter-openalex-d768-cell.jsonl	hub	artifacts/e3-openalex/filter-openalex-d768-cell.jsonl	raw data behind a documented finding
docs/artifacts/e3-openalex/plan-2026-09-23.json	hub	artifacts/e3-openalex/plan-2026-09-23.json	raw data behind a documented finding
docs/artifacts/e3-openalex/run10m-prep_log.json	hub	artifacts/e3-openalex/run10m-prep_log.json	raw data behind a documented finding
docs/artifacts/e3-openalex/run15m-convert_log.jsonl	drop		per-shard log of the superseded 15M convert; totals are in datasets.md
docs/artifacts/e3-openalex/run15m-prep_log.json	hub	artifacts/e3-openalex/run15m-prep_log.json	raw data behind a documented finding
docs/artifacts/e3-openalex/run15m-staging-params.json	hub	artifacts/e3-openalex/run15m-staging-params.json	raw data behind a documented finding
docs/artifacts/e3-openalex/stream_probe-32w.json	hub	artifacts/e3-openalex/stream_probe-32w.json	raw data behind a documented finding
docs/artifacts/e3-openalex/stream_probe-64w.json	hub	artifacts/e3-openalex/stream_probe-64w.json	raw data behind a documented finding
docs/artifacts/e4-kuairand/attr_vocab.json	hub	artifacts/e4-kuairand/attr_vocab.json	raw data behind a documented finding
docs/artifacts/e4-kuairand/convert_log.json	hub	artifacts/e4-kuairand/convert_log.json	raw data behind a documented finding
docs/artifacts/e4-kuairand/prep_log.json	hub	artifacts/e4-kuairand/prep_log.json	raw data behind a documented finding
docs/artifacts/evaluation-harness-v2/a1-rederive/l1-gate/goodreads-d128-c0_genre-linr_v3-triton.json	hub	artifacts/evaluation-harness-v2/a1-rederive/l1-gate/goodreads-d128-c0_genre-linr_v3-triton.json	raw data behind a documented finding
docs/artifacts/evaluation-harness-v2/a1-rederive/l1-gate/goodreads-d128-c0_genre-silvertorch-triton.json	hub	artifacts/evaluation-harness-v2/a1-rederive/l1-gate/goodreads-d128-c0_genre-silvertorch-triton.json	raw data behind a documented finding
docs/artifacts/evaluation-harness-v2/a1-rederive/l1-gate/repeat2-linr_v2-triton.json	hub	artifacts/evaluation-harness-v2/a1-rederive/l1-gate/repeat2-linr_v2-triton.json	raw data behind a documented finding
docs/artifacts/evaluation-harness-v2/a1-rederive/l1-gate/repeat2-linr_v3-triton.json	hub	artifacts/evaluation-harness-v2/a1-rederive/l1-gate/repeat2-linr_v3-triton.json	raw data behind a documented finding
docs/artifacts/evaluation-harness-v2/a1-rederive/l1-gate/repeat2-silvertorch-triton.json	hub	artifacts/evaluation-harness-v2/a1-rederive/l1-gate/repeat2-silvertorch-triton.json	raw data behind a documented finding
docs/artifacts/evaluation-harness-v2/a1-rederive/l1-gate/repeat3-linr_v3-triton.json	hub	artifacts/evaluation-harness-v2/a1-rederive/l1-gate/repeat3-linr_v3-triton.json	raw data behind a documented finding
